,CIK,GVKEY,NAICS,MCAP,REVT,ROA,NPM,NUM_SAVVY,NUM_DIR,ROE
2926,1401667.0,170945.0,325414.0,125.17504,253.155,-0.088,-0.239,3,5,0.731
2927,1550695.0,170965.0,5614.0,166.96721,124.393,0.15,-0.135,2,4,-0.106
2928,1237831.0,171002.0,339112.0,7331.4768,958.102,0.13,0.124,3,5,0.089
2929,1373715.0,171007.0,511210.0,129567.54888,5896.0,0.081,0.166,1,2,0.052
2930,1546417.0,171049.0,722511.0,1872.52794,4119.252,0.056,-0.034,6,12,0.45
2931,1401257.0,171059.0,333132.0,90.4257,541.068,-0.053,-0.128,1,3,-0.009
2932,1327567.0,171067.0,518210.0,38827.565,4256.1,0.01,-0.084,4,11,-0.484
2933,1177609.0,171141.0,452319.0,9829.45755,1962.137,0.101,0.061,4,8,0.201
2934,1434524.0,171155.0,334513.0,43.58316,0.607,-0.651,-19.124,1,5,-0.639
2935,1533040.0,171187.0,325414.0,13.535,0.0,-0.679,-424.19,4,8,-0.584
2936,1398987.0,174022.0,531210.0,1959.84428,7983.0,0.072,-0.064,7,12,0.085
2937,1354327.0,174049.0,332321.0,1342.56304,1161.464,0.139,0.046,4,9,0.182
2938,1169561.0,174077.0,518210.0,2998.089,723.472,0.051,-0.045,7,11,0.096
2939,1070081.0,174134.0,325414.0,2821.07924,538.593,-0.174,-1.232,0,1,-2.795
2940,1355096.0,174147.0,454110.0,2882.6496,14044.0,0.123,0.049,5,8,-0.608
2941,1320414.0,174236.0,622310.0,3936.219,6204.515,0.092,0.039,6,11,0.144
2942,1357971.0,174282.0,237120.0,22.61086,122.466,0.141,0.02,2,6,0.097
2943,1358356.0,174301.0,522110.0,141.7227,58.354,0.016,0.133,2,8,0.131
2944,1357615.0,174310.0,54151.0,6656.60932,7339.0,0.079,-0.006,1,5,0.101
2945,1333493.0,174389.0,524210.0,680.544,538.199,0.147,0.126,3,8,-0.183
2946,1158895.0,174390.0,339112.0,1101.19229,154.424,0.162,0.154,4,8,0.083
2947,1337013.0,174428.0,532283.0,352.521,102.382,0.294,0.079,1,6,0.006
2948,1361658.0,174729.0,531390.0,4749.3511,3043.0,0.085,-0.038,2,8,
2949,1360901.0,174744.0,523999.0,5149.12255,3307.085,0.19,0.117,6,12,0.477
2950,1362468.0,175007.0,481111.0,3387.48144,1707.91,0.044,-0.079,2,8,-0.025
2951,1178879.0,175008.0,325414.0,3221.44515,305.514,-0.328,-1.202,0,3,-0.946
2952,1287808.0,175055.0,236220.0,110.1438,377.438,0.049,0.016,3,9,-0.021
2953,1847398.0,175083.0,522120.0,172.61517,50.758,0.027,0.272,3,9,0.082
2954,1365135.0,175263.0,522320.0,7025.392,5070.8,0.144,0.144,5,11,1.451
2955,1341766.0,175269.0,312111.0,5585.96413,314.272,0.068,0.048,3,8,-0.689
2956,1359841.0,175319.0,315.0,5850.37816,6801.24,0.12,0.072,4,10,0.491
2957,1274494.0,175404.0,334413.0,9267.89712,2858.277,0.107,0.064,6,11,0.016
2958,1367083.0,175424.0,325412.0,15.55099,18.629,-0.277,-0.174,0,3,-0.59
2959,1354866.0,175457.0,332994.0,349.65888,42.16,0.051,-0.012,1,5,-0.182
2960,1121702.0,175490.0,325414.0,24.01944,0.614,-0.637,-19.364,3,6,-0.913
2961,1160791.0,175503.0,212221.0,137.80884,125.196,0.102,-0.039,1,5,-0.003
2962,1366868.0,175523.0,517410.0,2083.97364,124.297,0.038,-0.988,5,7,-0.771
2963,1113148.0,175533.0,325412.0,200.59875,1.858,-0.735,-25.943,5,7,-2.204
2964,1325670.0,175607.0,522110.0,369.608,123.805,0.016,0.131,2,9,0.055
2965,1370450.0,175654.0,541330.0,450.7008,353.755,0.039,-0.017,2,7,-0.05
2966,1270436.0,175674.0,523110.0,25.13257,146.368,0.002,0.003,4,5,-0.121
2967,1361538.0,175686.0,237120.0,1275.6161,3497.632,0.13,0.03,5,9,0.118
2968,7431.0,175689.0,327993.0,5492.70824,1106.6,0.176,-0.071,4,9,0.277
2969,1368458.0,175900.0,456120.0,1902.58405,3874.997,0.161,0.032,5,9,0.493
2970,1360565.0,175908.0,519130.0,88.0871745,21.932,0.161,0.135,0,7,0.165
2971,1111928.0,175955.0,334413.0,9125.1414,1460.86,0.112,0.09,3,10,0.099
